# Number of cycles elapsed, UOPS port 0, UOPS port 1, UOPS port 2, UOPS port 3, UOPS port 4, UOPS port 5, UOPS port 6, UOPS port 7, Machine clears, BA clears, number of retired instructions
4,1,0,0,0,0,0,1,0,0,0,0,
5,1,0,0,0,0,0,1,0,0,0,0,
6,1,0,0,0,0,0,1,0,0,0,0,
7,1,0,0,0,0,0,1,0,0,0,0,
8,1,0,0,0,0,0,1,0,0,0,0,
9,1,0,0,0,0,0,1,0,0,0,1,
10,1,0,0,0,0,0,1,0,0,0,1,
11,1,0,0,0,0,0,1,0,0,0,1,
12,1,0,0,0,0,0,1,0,0,0,1,
13,1,0,0,0,0,0,1,0,0,0,1,
14,1,0,0,0,0,0,1,0,0,0,1,
15,1,0,0,0,0,0,1,0,0,0,1,
16,1,0,0,0,0,0,1,0,0,0,1,
17,1,0,0,0,0,0,1,0,0,0,1,
18,1,0,0,0,0,0,1,0,0,0,1,
19,1,0,0,0,0,0,1,0,0,0,1,
20,1,0,0,0,0,0,1,0,0,0,1,
21,1,0,0,0,0,0,1,0,0,0,1,
22,1,0,0,0,0,0,1,0,0,0,1,
23,1,0,0,0,0,0,1,0,0,0,1,
24,1,0,0,0,0,0,1,0,0,0,1,
25,1,0,0,0,0,0,1,0,0,0,1,
26,1,0,0,0,0,0,1,0,0,0,1,
27,1,1,0,0,0,0,2,0,0,0,1,
28,1,1,0,0,0,0,3,0,0,0,1,
29,1,1,0,0,0,0,4,0,0,0,1,
30,2,1,0,0,0,1,5,0,0,0,1,
31,3,1,0,0,0,1,5,0,0,0,1,
32,4,1,0,0,0,1,5,0,0,0,1,
33,4,1,0,0,0,1,5,0,0,0,1,
34,4,2,0,0,0,2,5,0,0,0,1,
35,4,2,0,0,0,2,5,0,0,0,1,
36,4,2,0,0,0,2,6,0,0,0,1,
37,4,2,0,0,0,2,7,0,0,0,1,
38,4,2,0,0,0,2,8,0,0,0,1,
39,4,2,0,0,0,2,8,0,0,0,1,
40,4,2,0,0,0,2,8,0,0,0,1,
41,4,2,0,0,0,2,8,0,0,0,1,
42,4,2,0,0,0,2,8,0,0,0,1,
43,4,2,1,0,1,2,8,0,0,0,1,
44,4,2,1,0,1,2,8,0,0,0,1,
45,4,2,2,1,1,2,9,0,0,0,1,
46,4,2,3,2,1,2,9,0,0,0,1,
47,4,2,4,3,1,2,9,0,0,0,1,
48,4,2,5,4,1,2,9,0,0,0,1,
49,4,2,6,5,1,2,9,0,0,0,1,
50,4,2,7,6,1,2,9,0,0,0,1,
51,4,2,8,7,1,2,9,0,0,0,1,
52,4,2,9,8,1,2,10,1,0,0,1,
53,4,2,10,8,1,2,10,1,0,0,1,
54,4,2,10,8,2,2,10,1,0,0,1,
55,4,2,10,8,2,2,10,2,0,0,1,
56,4,2,10,8,2,3,10,3,0,0,1,
57,4,2,10,8,2,3,10,4,0,0,1,
58,4,2,10,8,3,3,10,5,0,0,1,
59,4,2,10,8,4,3,10,5,0,0,1,
60,4,3,10,8,5,3,10,5,0,0,1,
61,4,4,10,8,6,3,11,5,0,0,3,
62,4,4,10,8,6,4,12,5,0,0,3,
63,5,4,10,8,6,5,13,5,0,0,3,
64,5,4,10,8,6,6,14,5,0,0,3,
65,5,4,10,8,6,6,15,5,0,0,3,
66,6,5,10,8,6,6,16,5,0,0,3,
67,6,6,10,8,6,7,17,5,0,0,3,
68,7,7,10,8,6,8,18,5,0,0,3,
69,8,8,10,8,6,9,19,5,0,0,3,
70,9,8,10,8,6,9,20,5,0,0,3,
71,10,8,10,8,6,9,21,5,0,0,3,
72,10,9,10,8,6,9,22,5,0,0,3,
73,10,10,10,8,6,9,23,5,0,0,3,
74,10,10,10,8,6,10,24,5,0,0,3,
75,10,11,10,8,6,11,25,5,0,0,3,
76,11,11,10,8,6,11,26,5,0,0,3,
77,12,11,10,8,6,11,27,5,0,0,3,
78,13,11,10,8,6,12,28,5,0,0,3,
79,14,11,10,8,6,13,29,5,0,0,3,
80,15,11,10,8,6,13,30,5,0,0,3,
81,15,12,10,8,6,13,31,5,0,0,3,
82,15,13,10,8,6,14,32,5,0,0,3,
83,16,14,10,8,6,15,33,5,0,0,3,
84,16,15,10,8,6,16,34,5,0,0,3,
85,16,16,10,8,6,17,35,5,0,0,3,
86,16,16,10,8,6,17,36,5,0,0,3,
87,17,17,10,8,6,17,37,5,0,0,3,
88,17,17,10,8,6,17,37,5,0,0,3,
89,17,17,10,8,6,17,37,5,0,0,3,
90,17,17,10,8,6,17,37,5,0,0,3,
91,17,17,10,8,6,17,37,5,0,0,3,
92,17,17,10,8,6,17,37,5,0,0,3,
93,17,17,10,8,6,17,37,5,0,0,3,
94,17,17,10,8,6,17,37,5,0,0,3,
95,17,17,10,8,6,17,37,5,0,0,3,
96,17,17,10,8,6,17,37,5,0,0,3,
97,17,17,10,8,6,17,37,5,0,0,3,
98,17,17,10,8,6,17,37,5,0,0,3,
99,18,17,10,8,6,18,37,6,0,0,3,
100,18,17,10,8,6,18,38,6,0,0,3,
101,18,18,10,8,7,18,39,6,0,0,3,
102,18,18,10,8,7,19,40,6,0,0,3,
103,19,19,10,8,7,20,41,6,0,0,3,
104,19,20,10,8,7,20,42,6,0,0,3,
105,20,20,10,8,7,21,43,6,0,0,3,
106,20,20,10,8,7,21,44,6,1,0,3,
107,21,21,10,8,7,21,45,6,1,0,3,
108,22,22,10,8,7,22,46,6,1,0,3,
109,23,23,10,8,7,22,47,6,1,0,3,
110,23,23,10,8,7,22,47,6,1,0,3,
111,23,23,10,8,7,22,47,6,1,0,3,
